date;match_id;team1;team2;map1;map1_score;map2;map2_score;map3;map3_score
18th of october 2012;8878996;iplay;logix;nuke_se;14:16;;;;
18th of october 2012;8878997;sfto;tt-dragons;nuke_se;9:16;;;;
18th of october 2012;8878998;alternate-attax;nfaculty;nuke_se;16:8;;;;
18th of october 2012;8879000;dotpixels;red-dead;nuke_se;16:14;;;;
18th of october 2012;8879001;mtw;cplay;nuke_se;16:7;;;;
18th of october 2012;8879003;tt-dragons;cplay;inferno_se;9:16;;;;
18th of october 2012;8879164;fm-esports;3dmax;nuke_se;16:10;;;;
21st of october 2012;8880733;cph-wolves;coldgame;train;16:14;;;;
21st of october 2012;8880953;universalsoldiers;give-it-all;inferno_se;7:16;;;;
21st of october 2012;8880957;esc;inet-koxxx;train_se;16:7;;;;
21st of october 2012;8880958;alsen;give-it-all;train_se;16:14;;;;
21st of october 2012;8880962;esc;delta;inferno_se;6:16;;;;
21st of october 2012;8881016;sfto;red-dead;train_se;6:16;;;;
22nd of october 2012;8881026;nfaculty;tt-dragons;train_se;16:8;;;;
23rd of october 2012;8882179;alternate-attax;dotpixels;dust2_se;16:10;;;;
23rd of october 2012;8882181;iplay;tt-dragons;dust2_se;16:8;;;;
23rd of october 2012;8882182;sfto;cplay;dust2_se;9:16;;;;
24th of october 2012;8882753;virtuspro;winfakt;nuke_se;11:16;;;;
25th of october 2012;8882945;alternate-attax;iplay;mirage_ce;16:7;;;;
25th of october 2012;8882946;mousesports;sfto;mirage_ce;16:9;;;;
25th of october 2012;8882947;gamedde;tt-dragons;mirage_ce;16:4;;;;
27th of october 2012;8883870;esc;maxfloplay;nuke_se;11:16;inferno_se;16:2;mirage_ce;16:11
27th of october 2012;8883873;white;menace;train_se;16:9;nuke_se;16:6;;
28th of october 2012;8884311;universalsoldiers;asperagamers;mirage_ce;10:16;;;;
28th of october 2012;8884312;maxfloplay;delta;mirage_ce;16:9;;;;
28th of october 2012;8884313;delta;asperagamers;train_se;16:12;;;;
28th of october 2012;8884321;inet-koxxx;give-it-all;mirage_ce;13:16;;;;
29th of october 2012;8884932;esc;clan-poland;mirage_ce;16:4;;;;
29th of october 2012;8884933;maxfloplay;clan-poland;train_se;16:2;;;;
30th of october 2012;8885159;alternate-attax;red-dead;inferno_se;15:15;;;;
30th of october 2012;8885160;gamedde;nfaculty;inferno_se;14:16;;;;
30th of october 2012;8885162;iplay;sfto;inferno_se;15:15;;;;
30th of october 2012;8885163;mousesports;dotpixels;inferno_se;16:13;;;;
31st of october 2012;8885585;gamedde;red-dead;dust2_se;16:7;;;;
1st of november 2012;8885588;cplay;alternate-attax;train_se;9:16;;;;
1st of november 2012;8885589;gamedde;iplay;train_se;16:7;;;;
1st of november 2012;8885590;dotpixels;cplay;mirage_ce;16:6;;;;
1st of november 2012;8885635;verygames;punchline;inferno_se;16:13;;;;
1st of november 2012;8885636;gametoo;extensive;nuke_se;12:16;;;;
1st of november 2012;8885641;buykey;pyrogen;mirage_ce;16:7;;;;
1st of november 2012;8885643;millenium;sharkconfig;mirage_ce;16:7;;;;
1st of november 2012;8885648;verygames;extensive;inferno_se;16:14;;;;
1st of november 2012;8885649;gametoo;punchline;nuke_se;9:16;;;;
1st of november 2012;8885650;millenium;pyrogen;mirage_ce;16:11;;;;
1st of november 2012;8885651;buykey;sharkconfig;inferno_se;16:4;;;;
1st of november 2012;8885652;verygames;gametoo;train_se;16:11;;;;
1st of november 2012;8885653;extensive;punchline;inferno_se;16:7;;;;
1st of november 2012;8885655;millenium;buykey;mirage_ce;14:16;;;;
1st of november 2012;8885656;sharkconfig;pyrogen;mirage_ce;4:16;;;;
1st of november 2012;8885821;verygames;millenium;nuke_se;16:11;dust2_se;16:12;;
1st of november 2012;8885822;buykey;extensive;inferno_se;25:22;dust2_se;16:14;;
1st of november 2012;8885898;buykey;verygames;inferno_se;13:16;train_se;8:16;;
2nd of november 2012;8886026;mousesports;lowlandlions;mirage_ce;16:14;;;;
2nd of november 2012;8886027;area-51;progamingtd;dust2_se;16:0;;;;
2nd of november 2012;8886028;nip;lowlandlions;nuke_se;16:9;;;;
2nd of november 2012;8886029;mousesports;progamingtd;train_se;16:8;;;;
2nd of november 2012;8886030;nip;progamingtd;nuke_se;16:13;;;;
2nd of november 2012;8886031;mousesports;area-51;nuke_se;15:15;;;;
2nd of november 2012;8886034;nip;area-51;inferno_se;16:10;;;;
2nd of november 2012;8886035;progamingtd;lowlandlions;train_se;16:6;;;;
2nd of november 2012;8886036;area-51;lowlandlions;dust2_se;16:12;;;;
3rd of november 2012;8886037;nip;mousesports;dust2_se;16:5;;;;
2nd of november 2012;8886040;fm-esports;anexis;inferno_se;10:16;;;;
3rd of november 2012;8886042;anexis;esc;inferno_se;12:16;;;;
3rd of november 2012;8886043;fm-esports;nfaculty;inferno_se;16:8;;;;
3rd of november 2012;8886044;fm-esports;esc;nuke_se;9:16;;;;
3rd of november 2012;8886045;verygames;nfaculty;dust2_se;16:4;;;;
3rd of november 2012;8886047;verygames;esc;nuke_se;16:2;;;;
3rd of november 2012;8886048;esc;nfaculty;inferno_se;11:16;;;;
3rd of november 2012;8886049;verygames;anexis;inferno_se;15:15;;;;
3rd of november 2012;8886051;anexis;nfaculty;inferno_se;10:16;;;;
3rd of november 2012;8886053;verygames;fm-esports;nuke_se;16:9;;;;
2nd of november 2012;8886132;imaginary-fe;infernity-ladies;mirage_ce;16:11;;;;
2nd of november 2012;8886134;druidz-fe;reason-gaming-fe;mirage_ce;9:16;;;;
2nd of november 2012;8886135;alternate-fe;epsilon-fe;mirage_ce;16:10;;;;
2nd of november 2012;8886136;ubinited;blackwidow;nuke_se;16:5;;;;
2nd of november 2012;8886137;reason-gaming-fe;imaginary-fe;mirage_ce;16:0;;;;
2nd of november 2012;8886138;druidz-fe;infernity-ladies;dust2_se;16:9;;;;
2nd of november 2012;8886139;imaginary-fe;druidz-fe;inferno_se;16:9;;;;
2nd of november 2012;8886140;infernity-ladies;reason-gaming-fe;mirage_ce;12:16;;;;
2nd of november 2012;8886141;ubinited;epsilon-fe;nuke_se;16:9;;;;
2nd of november 2012;8886142;alternate-fe;blackwidow;mirage_ce;16:8;;;;
2nd of november 2012;8886143;ubinited;alternate-fe;nuke_se;15:15;;;;
2nd of november 2012;8886144;blackwidow;epsilon-fe;inferno_se;7:16;;;;
3rd of november 2012;8886148;alternate-fe;reason-gaming-fe;inferno_se;16:12;nuke_se;8:16;mirage_ce;16:14
3rd of november 2012;8886149;ubinited;imaginary-fe;Best of 3;2:1;;;;
3rd of november 2012;8886153;verygames;area-51;dust2_se;16:19;nuke_se;16:5;train_se;16:11
3rd of november 2012;8886154;nip;nfaculty;Best of 3;2:0;;;;
4th of november 2012;8886155;ubinited;alternate-fe;nuke_se;7:16;dust2_se;22:19;inferno_se;19:17
4th of november 2012;8886156;reason-gaming-fe;imaginary-fe;Best of 3;2:1;;;;
4th of november 2012;8886159;nip;verygames;dust2_se;16:3;train_se;16:14;;
4th of november 2012;8886160;area-51;nfaculty;dust2_se;16:1;inferno_se;11:16;nuke_se;16:9
4th of november 2012;8886165;maxfloplay;asperagamers;dust2_se;16:3;;;;
4th of november 2012;8886166;alsen;boomslave;mirage_ce;16:14;;;;
4th of november 2012;8886167;give-it-all;clan-poland;dust2_se;16:2;;;;
5th of november 2012;8886205;tt-dragons;dotpixels;train_se;9:16;;;;
6th of november 2012;8886466;nfaculty;sfto;train_se;16:8;;;;
6th of november 2012;8886467;gamedde;sfto;nuke_se;16:3;;;;
6th of november 2012;8886468;mousesports;tt-dragons;nuke_se;16:6;;;;
6th of november 2012;8886469;nfaculty;iplay;nuke_se;16:14;;;;
6th of november 2012;8886470;red-dead;cplay;nuke_se;16:9;;;;
7th of november 2012;8886471;myrevenge;redzone;dust2_se;12:16;;;;
7th of november 2012;8886829;anexis;virtuspro;mirage_ce;16:4;;;;
7th of november 2012;8886835;anexis;nfaculty;dust2_se;16:7;;;;
7th of november 2012;8886836;anexis;3dmax;dust2_se;16:1;;;;
7th of november 2012;8886855;gamedde;k1ck;dust2_se;5:16;;;;
8th of november 2012;8886922;nip;ases;dust2_se;15:15;;;;
8th of november 2012;8887078;esc;boomslave;dust2_se;16:4;;;;
9th of november 2012;8887091;mousesports;swissrage;dust2_se;16:2;;;;
11th of november 2012;8888034;cph-wolves;northern;nuke_se;16:6;;;;
11th of november 2012;8888036;3dmax;tricked;mirage_ce;16:8;;;;
11th of november 2012;8888037;eyes-on-u;recession;nuke_se;16:3;;;;
11th of november 2012;8888039;cplay;logix;mirage_ce;16:11;;;;
11th of november 2012;8888040;with-attitude;snogard-dragons;inferno_se;16:2;;;;
11th of november 2012;8888041;memento-mori;sophisticated;nuke_se;6:16;;;;
11th of november 2012;8888042;antiquus;nox-vulpes;mirage_ce;16:8;;;;
11th of november 2012;8888049;gamedde;swissrage;nuke_se;16:4;;;;
11th of november 2012;8888051;alternate-attax;dat;nuke_se;9:16;;;;
11th of november 2012;8888056;millenium;nextgaming;nuke_se;16:3;;;;
11th of november 2012;8888058;k1ck;myrevenge;nuke_se;16:1;;;;
11th of november 2012;8888209;nip;cplay;nuke_se;16:10;;;;
11th of november 2012;8888213;extensive;wizards;dust2_se;16:14;;;;
11th of november 2012;8888214;extensive;znation;nuke_se;16:6;;;;
11th of november 2012;8888216;ases;mydgbnet;nuke_se;12:16;;;;
11th of november 2012;8888276;anexis;with-attitude;mirage_ce;16:7;inferno_se;16:14;;
11th of november 2012;8888278;cph-wolves;sophisticated;nuke_se;16:5;mirage_ce;16:7;;
