date;match_id;team1;team2;map1;map1_score;map2;map2_score;map3;map3_score
11th of may 2013;8945793;zet;espumaacd;inferno_se;16:14;nuke_se;16:5;;
11th of may 2013;8945794;espuma;ks-gamingcom;dust2_se;1:0;inferno_se;0:1;mirage_ce;16:14
11th of may 2013;8945844;eyes-on-u;server-forge;nuke_se;16:1;inferno_se;16:8;;
11th of may 2013;8945851;western-wolves;zet;nuke_se;16:2;train_se;16:9;;
11th of may 2013;8945855;heroic;bailers;dust2_se;16:12;;;;
11th of may 2013;8945856;xapso;espumaacd;inferno_se;16:1;;;;
11th of may 2013;8945863;fnatic;espuma;mirage_ce;16:3;nuke_se;16:11;;
11th of may 2013;8945864;cph-wolves;oxzone;dust2_se;16:8;inferno_se;16:4;;
11th of may 2013;8945865;viborg-vipers;ks-gamingcom;train_se;9:16;;;;
11th of may 2013;8945866;vikings;speedclick;nuke_se;16:5;;;;
11th of may 2013;8945874;server-forge;vikings;nuke_se;16:13;;;;
11th of may 2013;8945879;western-wolves;eyes-on-u;train_se;14:16;nuke_se;16:8;inferno_se;19:17
11th of may 2013;8945880;zet;ks-gamingcom;inferno_se;9:16;;;;
11th of may 2013;8945881;espuma;xapso;inferno_se;10:16;;;;
11th of may 2013;8945882;fnatic;cph-wolves;mirage_ce;14:16;dust2_se;16:13;nuke_se;10:16
11th of may 2013;8945883;heroic;oxzone;dust2_se;19:16;;;;
11th of may 2013;8945910;xapso;heroic;dust2_se;16:9;;;;
11th of may 2013;8945918;alternate-attax;mousesports;mirage_ce;8:16;inferno_se;14:16;;
11th of may 2013;8945927;western-wolves;cph-wolves;nuke_se;4:16;dust2_se;14:16;;
11th of may 2013;8945928;fnatic;server-forge;train_se;16:6;;;;
11th of may 2013;8945929;eyes-on-u;xapso;mirage_ce;17:19;;;;
11th of may 2013;8945957;fnatic;xapso;mirage_ce;16:9;;;;
11th of may 2013;8945960;nip;internetz;nuke_se;16:11;dust2_se;16:2;;
11th of may 2013;8945963;western-wolves;fnatic;dust2_se;5:16;;;;
11th of may 2013;8945969;cph-wolves;fnatic;dust2_se;19:16;;;;
13th of may 2013;8946076;fnatic;znation;mirage_ce;16:4;;;;
12th of may 2013;8946104;virtuspro;western-wolves;mirage_ce;6:16;;;;
12th of may 2013;8946123;mydgbnet;wild;dust2_se;16:12;mirage_ce;16:9;;
14th of may 2013;8946233;3dmax;entity;dust2_se;16:6;;;;
14th of may 2013;8946234;virtuspro;cplay;nuke_se;16:4;;;;
13th of may 2013;8946238;h2k;crossed;cache;16:7;;;;
13th of may 2013;8946266;lions;crossed;nuke_se;15:15;;;;
14th of may 2013;8946334;epsilon;eyes-on-u;mirage_ce;16:6;;;;
14th of may 2013;8946335;esc;mydgbnet;mirage_ce;16:11;;;;
14th of may 2013;8946336;western-wolves;cph-wolves;dust2_se;17:21;;;;
14th of may 2013;8946337;ination;lowlandlions;mirage_ce;16:11;;;;
14th of may 2013;8946338;plan-b;kerchnet;mirage_ce;16:9;;;;
14th of may 2013;8946339;wizards;ldlc;nuke_se;4:16;;;;
14th of may 2013;8946340;eternity-gaming;alternate-attax;mirage_ce;10:16;;;;
14th of may 2013;8946341;sprintfox;ence;mirage_ce;16:14;;;;
14th of may 2013;8946353;nip;epsilon;train_se;16:2;;;;
14th of may 2013;8946354;ldlc;nfaculty;mirage_ce;16:6;;;;
14th of may 2013;8946356;verygames;plan-b;inferno_se;16:6;;;;
14th of may 2013;8946359;esc;k1ck;nuke_se;16:14;;;;
14th of may 2013;8946360;fnatic;sprintfox;mirage_ce;13:16;;;;
14th of may 2013;8946362;alternate-attax;imaginary;dust2_se;16:7;;;;
14th of may 2013;8946363;absolute-legends;ination;mirage_ce;16:6;;;;
14th of may 2013;8946369;anexis;cph-wolves;inferno_se;4:16;;;;
14th of may 2013;8946376;nip;esc;mirage_ce;16:6;;;;
14th of may 2013;8946377;verygames;ldlc;nuke_se;13:16;;;;
14th of may 2013;8946379;alternate-attax;sprintfox;inferno_se;10:16;;;;
14th of may 2013;8946392;cph-wolves;absolute-legends;inferno_se;16:3;;;;
15th of may 2013;8946404;ldlc;sprintfox;inferno_se;16:8;;;;
15th of may 2013;8946406;nip;cph-wolves;nuke_se;8:16;;;;
15th of may 2013;8946409;alternate-attax;3dmax;mirage_ce;0:16;;;;
15th of may 2013;8946506;cph-wolves;ldlc;nuke_se;16:12;inferno_se;16:7;;
16th of may 2013;8946513;esc;eltz;mirage_ce;16:9;;;;
16th of may 2013;8946514;nfaculty;3dmax;mirage_ce;11:16;;;;
16th of may 2013;8946604;virtuspro;ldlc;inferno_se;16:8;;;;
19th of may 2013;8946624;k1ck;entity;nuke_se;16:11;;;;
18th of may 2013;8946626;esc;tcm-gaming;inferno_se;14:16;;;;
19th of may 2013;8946833;nfaculty;wizards;dust2_se;16:12;;;;
19th of may 2013;8946838;cph-wolves;nfaculty;nuke_se;15:15;;;;
19th of may 2013;8947008;bx3;kraftlaget;mirage_ce;16:12;;;;
19th of may 2013;8947023;western-wolves;plan-b;dust2_se;16:7;;;;
20th of may 2013;8947039;virtuspro;fnatic;dust2_se;16:12;;;;
20th of may 2013;8947041;nip;eltz;mirage_ce;16:5;;;;
19th of may 2013;8947043;ldlc;mydgbnet;nuke_se;16:1;mirage_ce;11:16;train_se;3:16
20th of may 2013;8947047;cph-wolves;epsilon;dust2_se;16:4;;;;
20th of may 2013;8947048;virtuspro;cph-wolves;nuke_se;16:13;;;;
20th of may 2013;8947097;epsilon;nfaculty;mirage_ce;16:10;;;;
20th of may 2013;8947104;mydgbnet;teambruno;mirage_ce;16:4;inferno_se;16:4;;
20th of may 2013;8947105;rctic;paranoia;dust2_se;7:16;inferno_se;16:12;nuke_se;12:16
20th of may 2013;8947106;f2^;menace;mirage_ce;16:8;train_se;11:16;dust2_se;16:11
20th of may 2013;8947119;fr34kshow;pony-express;dust2_se;16:6;inferno_se;8:16;train_se;16:8
20th of may 2013;8947140;virtuspro;nfaculty;nuke_se;16:3;;;;
20th of may 2013;8947162;mydgbnet;paranoia;mirage_ce;16:10;nuke_se;16:5;;
20th of may 2013;8947163;f2^;fr34kshow;dust2_se;16:7;mirage_ce;16:8;;
22nd of may 2013;8947176;mydgbnet;f2^;dust2_se;16:13;mirage_ce;20:22;inferno_se;16:0
23rd of may 2013;8947241;virtuspro;anexis;nuke_se;14:16;;;;
23rd of may 2013;8947244;cph-wolves;anexis;dust2_se;7:16;;;;
21st of may 2013;8947280;eyes-on-u;kerchnet;mirage_ce;16:9;;;;
21st of may 2013;8947281;anexis;3dmax;dust2_se;16:3;;;;
21st of may 2013;8947282;virtuspro;k1ck;dust2_se;16:12;;;;
21st of may 2013;8947283;natus-vincere;ination;inferno_se;16:12;;;;
21st of may 2013;8947284;epsilon;mydgbnet;mirage_ce;14:16;;;;
21st of may 2013;8947285;imaginary;logix;mirage_ce;6:16;;;;
21st of may 2013;8947287;swog;nfaculty;mirage_ce;9:16;;;;
21st of may 2013;8947288;western-wolves;wizards;inferno_se;16:3;;;;
21st of may 2013;8947295;sprintfox;nfaculty;nuke_se;7:16;;;;
21st of may 2013;8947298;cph-wolves;eyes-on-u;inferno_se;16:3;;;;
21st of may 2013;8947299;anexis;fnatic;nuke_se;8:16;;;;
21st of may 2013;8947301;alternate-attax;mydgbnet;mirage_ce;18:21;;;;
21st of may 2013;8947302;nip;western-wolves;dust2_se;3:16;;;;
21st of may 2013;8947305;verygames;natus-vincere;dust2_se;17:21;;;;
21st of may 2013;8947306;virtuspro;absolute-legends;dust2_se;5:16;;;;
21st of may 2013;8947307;esc;logix;mirage_ce;16:6;;;;
21st of may 2013;8947317;western-wolves;nfaculty;nuke_se;16:11;;;;
21st of may 2013;8947319;cph-wolves;fnatic;nuke_se;14:16;;;;
21st of may 2013;8947323;esc;mydgbnet;train_se;16:11;;;;
21st of may 2013;8947325;natus-vincere;absolute-legends;dust2_se;16:5;;;;
22nd of may 2013;8947327;virtuspro;wizards;inferno_se;16:12;;;;
22nd of may 2013;8947334;cph-wolves;wizards;dust2_se;15:15;;;;
22nd of may 2013;8947336;fnatic;natus-vincere;mirage_ce;16:4;;;;
22nd of may 2013;8947337;esc;western-wolves;nuke_se;7:16;;;;
22nd of may 2013;8947344;anexis;epsilon;inferno_se;3:16;;;;
26th of may 2013;8947345;anexis;wizards;nuke_se;14:16;;;;
22nd of may 2013;8947387;3dmax;eltz;inferno_se;16:12;;;;
22nd of may 2013;8947425;plan-b;lions;nuke_se;16:1;;;;
22nd of may 2013;8947426;bx3;plan-b;train_se;16:6;;;;
22nd of may 2013;8947427;bx3;lions;cache;16:14;;;;
22nd of may 2013;8947438;fnatic;western-wolves;nuke_se;8:16;dust2_se;13:16;;
23rd of may 2013;8947457;fnatic;esc;mirage_ce;4:16;;;;
23rd of may 2013;8947480;epsilon;wizards;inferno_se;9:16;;;;
23rd of may 2013;8947498;virtuspro;epsilon;inferno_se;11:16;;;;
27th of may 2013;8947866;verygames;ldlc;inferno_se;10:16;nuke_se;6:16;;
26th of may 2013;8947899;anexis;nfaculty;dust2_se;16:6;;;;
26th of may 2013;8947901;nip;nfaculty;nuke_se;16:8;;;;
26th of may 2013;8947902;alternate-attax;entity;mirage_ce;14:16;;;;
25th of may 2013;8947911;nip;lemondogs;train_se;17:19;dust2_se;16:5;mirage_ce;16:10
25th of may 2013;8947912;crave-gaming;internetz;inferno_se;16:11;nuke_se;16:14;;
25th of may 2013;8947954;nip;crave-gaming;train_se;16:5;dust2_se;16:11;;
26th of may 2013;8948013;western-wolves;oxzone;train_se;16:10;;;;
26th of may 2013;8948014;fatnife;teamprotech;nuke_se;16:12;;;;
26th of may 2013;8948015;zet;sophisticated;nuke_se;16:3;;;;
26th of may 2013;8948016;flkkeholdet;intetnavn;nuke_se;16:14;;;;
26th of may 2013;8948017;western-wolves;fatnife;inferno_se;16:10;;;;
26th of may 2013;8948018;oxzone;teamprotech;inferno_se;14:16;;;;
26th of may 2013;8948019;flkkeholdet;sophisticated;inferno_se;16:9;;;;
26th of may 2013;8948020;zet;intetnavn;dust2_se;10:16;;;;
26th of may 2013;8948021;western-wolves;teamprotech;nuke_se;16:7;;;;
26th of may 2013;8948022;oxzone;fatnife;dust2_se;16:9;;;;
26th of may 2013;8948023;flkkeholdet;zet;nuke_se;16:9;;;;
26th of may 2013;8948024;intetnavn;sophisticated;dust2_se;16:7;;;;
26th of may 2013;8948100;western-wolves;intetnavn;dust2_se;16:14;inferno_se;16:12;;
26th of may 2013;8948101;flkkeholdet;oxzone;nuke_se;16:10;dust2_se;16:10;;
26th of may 2013;8948125;western-wolves;flkkeholdet;dust2_se;16:12;inferno_se;5:16;nuke_se;16:9
27th of may 2013;8948160;nip;fnatic;nuke_se;16:8;;;;
27th of may 2013;8948161;esc;ldlc;mirage_ce;11:16;;;;
27th of may 2013;8948162;k1ck;ination;nuke_se;16:12;;;;
27th of may 2013;8948165;nip;cph-wolves;cache;16:2;;;;
27th of may 2013;8948166;fnatic;cph-wolves;nuke_se;16:11;;;;
27th of may 2013;8948167;fnatic;epsilon;cache;9:16;;;;
27th of may 2013;8948171;k1ck;eltz;inferno_se;0:1;;;;
27th of may 2013;8948172;3dmax;cplay;dust2_se;0:1;;;;
27th of may 2013;8948173;nip;fnatic;nuke_se;16:3;;;;
28th of may 2013;8948306;esc;ination;nuke_se;16:2;;;;
28th of may 2013;8948307;fnatic;ldlc;mirage_ce;7:16;;;;
28th of may 2013;8948397;lemondogs;dignitas;cache;16:6;;;;
28th of may 2013;8948407;virtuspro;epsilon;mirage_ce;21:18;;;;
28th of may 2013;8948408;verygames;tardz;inferno_se;16:7;;;;
28th of may 2013;8948409;anexis;lions;nuke_se;16:5;;;;
28th of may 2013;8948410;imaginary;3dmax;inferno_se;9:16;;;;
28th of may 2013;8948411;3dmax;k1ck;inferno_se;16:13;;;;
28th of may 2013;8948412;nfaculty;zet;mirage_ce;16:6;;;;
28th of may 2013;8948413;reason;sprintfox;inferno_se;19:21;;;;
28th of may 2013;8948414;ination;kerchnet;mirage_ce;16:11;;;;
28th of may 2013;8948432;nfaculty;alternate-attax;dust2_se;16:10;;;;
28th of may 2013;8948433;nip;anexis;nuke_se;16:9;;;;
28th of may 2013;8948434;fnatic;ination;mirage_ce;21:17;;;;
28th of may 2013;8948435;ldlc;3dmax;mirage_ce;16:11;;;;
28th of may 2013;8948438;verygames;absolute-legends;dust2_se;16:9;;;;
28th of may 2013;8948440;esc;3dmax;dust2_se;16:7;;;;
28th of may 2013;8948442;cph-wolves;virtuspro;dust2_se;10:16;;;;
28th of may 2013;8948444;natus-vincere;sprintfox;mirage_ce;16:13;;;;
28th of may 2013;8948451;ldlc;nfaculty;nuke_se;16:8;;;;
28th of may 2013;8948455;virtuspro;verygames;nuke_se;14:16;;;;
28th of may 2013;8948458;nip;esc;train_se;16:12;;;;
28th of may 2013;8948459;fnatic;natus-vincere;mirage_ce;5:16;;;;
29th of may 2013;8948464;natus-vincere;ldlc;mirage_ce;18:21;;;;
29th of may 2013;8948470;nip;verygames;inferno_se;21:18;;;;
29th of may 2013;8948472;epsilon;k1ck;cache;9:16;;;;
29th of may 2013;8948473;anexis;nfaculty;cache;16:12;;;;
29th of may 2013;8948484;fnatic;esc;mirage_ce;16:14;;;;
29th of may 2013;8948485;fnatic;ination;mirage_ce;16:0;;;;
29th of may 2013;8948492;eltz;kerchnet;inferno_se;12:16;;;;
29th of may 2013;8948493;k1ck;kerchnet;nuke_se;11:16;;;;
29th of may 2013;8948494;nfaculty;alternate-attax;train_se;16:9;;;;
29th of may 2013;8948495;esc;natus-vincere;inferno_se;16:11;;;;
29th of may 2013;8948565;xapso;server-forge;train_se;16:2;nuke_se;16:4;;
29th of may 2013;8948588;fnatic;3dmax;dust2_se;16:7;;;;
29th of may 2013;8948617;nip;ldlc;nuke_se;16:7;mirage_ce;16:6;;
30th of may 2013;8948625;ldlc;k1ck;inferno_se;16:10;;;;
30th of may 2013;8948626;fnatic;k1ck;dust2_se;16:13;;;;
30th of may 2013;8948629;nfaculty;entity;mirage_ce;16:11;;;;
30th of may 2013;8948631;kerchnet;cplay;nuke_se;15:15;;;;
30th of may 2013;8948632;entity;kerchnet;mirage_ce;16:10;;;;
30th of may 2013;8948633;esc;cplay;dust2_se;16:7;;;;
30th of may 2013;8948731;lemondogs;mymdlnet;mirage_ce;16:10;;;;
30th of may 2013;8948746;epsilon;lemondogs;mirage_ce;14:16;;;;
30th of may 2013;8948747;natus-vincere;absolute-legends;mirage_ce;16:11;;;;
30th of may 2013;8948749;nip;3dmax;nuke_se;16:6;;;;
30th of may 2013;8948750;virtuspro;plan-b;mirage_ce;16:13;;;;
30th of may 2013;8948759;nip;natus-vincere;dust2_se;16:11;train_se;16:2;;
30th of may 2013;8948760;virtuspro;lemondogs;inferno_se;16:7;dust2_se;16:12;;
30th of may 2013;8948784;nip;virtuspro;mirage_ce;16:9;inferno_se;16:11;;
31st of may 2013;8948790;k1ck;nfaculty;dust2_se;16:9;;;;
2nd of june 2013;8948996;nip;esc;nuke_se;16:1;;;;
2nd of june 2013;8948998;nip;ldlc;nuke_se;16:8;;;;
2nd of june 2013;8948999;nip;ination;mirage_ce;16:8;;;;
1st of june 2013;8949020;lemondogs;dragonmasters;dust2_se;16:12;mirage_ce;16:3;;
1st of june 2013;8949021;epsilon;decerto;inferno_se;16:2;dust2_se;16:5;;
1st of june 2013;8949022;crave-gaming;nextlevel;dust2_se;16:5;inferno_se;14:16;mirage_ce;16:2
1st of june 2013;8949023;refuse;everlong;dust2_se;16:11;nuke_se;16:2;;
1st of june 2013;8949044;lemondogs;refuse;dust2_se;11:16;train_se;6:16;;
1st of june 2013;8949051;epsilon;crave-gaming;inferno_se;16:11;mirage_ce;16:8;;
1st of june 2013;8949069;epsilon;refuse;inferno_se;16:14;dust2_se;4:16;train_se;12:16
2nd of june 2013;8949118;virtuspro;esc;inferno_se;15:15;;;;
2nd of june 2013;8949119;3dmax;znation;dust2_se;16:8;;;;
2nd of june 2013;8949120;natus-vincere;entity;mirage_ce;16:8;;;;
2nd of june 2013;8949121;znation;eltz;train_se;15:15;;;;
2nd of june 2013;8949122;entity;eltz;nuke_se;14:16;;;;
2nd of june 2013;8949124;natus-vincere;ldlc;season;0:1;;;;
2nd of june 2013;8949126;virtuspro;verygames;mirage_ce;16:19;;;;
2nd of june 2013;8949203;h2k;plan-b;Best of 3;0:1;;;;
2nd of june 2013;8949211;plan-b;lions;train_se;8:16;dust2_se;13:16;;
3rd of june 2013;8949255;esc;k1ck;dust2_se;10:16;;;;
3rd of june 2013;8949256;ldlc;ination;inferno_se;16:9;;;;
3rd of june 2013;8949271;nip;k1ck;nuke_se;16:4;;;;
3rd of june 2013;8949288;nip;alternate-attax;dust2_se;16:1;;;;
3rd of june 2013;8949290;natus-vincere;3dmax;dust2_se;13:16;;;;
3rd of june 2013;8949291;natus-vincere;alternate-attax;mirage_ce;16:13;;;;
3rd of june 2013;8949350;esc;ldlc;cache;16:14;;;;
3rd of june 2013;8949401;verygames;nfaculty;cache;16:7;;;;
4th of june 2013;8949431;nip;epsilon;train_se;16:9;;;;
4th of june 2013;8949511;3dmax;3dmax;dust2_se;17:21;;;;
4th of june 2013;8949512;nfaculty;cs:goetter;mirage_ce;16:10;;;;
4th of june 2013;8949513;anexis;zet;dust2_se;3:16;;;;
4th of june 2013;8949514;ination;wizards;nuke_se;16:13;;;;
4th of june 2013;8949515;k1ck;logix;dust2_se;11:16;;;;
4th of june 2013;8949516;virtuspro;lions;inferno_se;21:19;;;;
4th of june 2013;8949517;reason;sprintfox;inferno_se;21:19;;;;
4th of june 2013;8949518;epsilon;kerchnet;inferno_se;16:6;;;;
4th of june 2013;8949533;esc;zet;train_se;16:14;;;;
4th of june 2013;8949535;cph-wolves;epsilon;inferno_se;16:11;;;;
4th of june 2013;8949538;absolute-legends;nfaculty;dust2_se;12:16;;;;
4th of june 2013;8949540;western-wolves;logix;nuke_se;16:2;;;;
4th of june 2013;8949545;alternate-attax;reason;inferno_se;13:16;;;;
4th of june 2013;8949547;verygames;virtuspro;inferno_se;14:16;;;;
4th of june 2013;8949548;ldlc;3dmax;nuke_se;16:3;;;;
4th of june 2013;8949549;natus-vincere;ination;mirage_ce;13:16;;;;
4th of june 2013;8949557;ldlc;nfaculty;mirage_ce;16:10;;;;
4th of june 2013;8949559;cph-wolves;reason;nuke_se;16:4;;;;
4th of june 2013;8949561;esc;ination;nuke_se;21:17;;;;
4th of june 2013;8949566;western-wolves;virtuspro;inferno_se;13:16;;;;
5th of june 2013;8949576;ldlc;esc;mirage_ce;16:14;;;;
5th of june 2013;8949577;cph-wolves;virtuspro;inferno_se;16:10;;;;
5th of june 2013;8949607;virtuspro;kerchnet;mirage_ce;14:16;;;;
5th of june 2013;8949609;kerchnet;alternate-attax;mirage_ce;10:16;;;;
5th of june 2013;8949610;znation;cplay;dust2_se;15:15;;;;
5th of june 2013;8949659;natus-vincere;znation;dust2_se;16:10;;;;
6th of june 2013;8949706;k1ck;alternate-attax;dust2_se;1:0;;;;
6th of june 2013;8949708;virtuspro;3dmax;mirage_ce;8:16;;;;
5th of june 2013;8949714;cph-wolves;ldlc;inferno_se;3:16;nuke_se;10:16;;
6th of june 2013;8949721;nfaculty;eltz;nuke_se;16:9;;;;
6th of june 2013;8949722;alternate-attax;cplay;dust2_se;16:7;;;;
6th of june 2013;8949723;virtuspro;k1ck;inferno_se;15:15;;;;
6th of june 2013;8949724;alternate-attax;eltz;inferno_se;16:4;;;;
6th of june 2013;8949742;anexis;epsilon;train_se;7:16;;;;
7th of june 2013;8949788;fnatic;anexis;dust2_se;9:16;mirage_ce;4:16;;
7th of june 2013;8949789;virtuspro;ldlc;nuke_se;16:12;inferno_se;12:16;mirage_ce;15:19
7th of june 2013;8949848;virtuspro;k1ck;cache;16:5;;;;
7th of june 2013;8949849;ldlc;k1ck;train_se;16:9;;;;
7th of june 2013;8949855;natus-vincere;k1ck;dust2_se;10:16;;;;
7th of june 2013;8949946;natus-vincere;nfaculty;dust2_se;16:4;;;;
9th of june 2013;8950238;nip;virtuspro;dust2_se;16:3;;;;
9th of june 2013;8950295;einheit;ases;inferno_se;16:19;nuke_se;9:16;;
10th of june 2013;8950364;cph-wolves;natus-vincere;dust2_se;16:6;;;;
10th of june 2013;8950365;esc;sprintfox;mirage_ce;16:1;;;;
10th of june 2013;8950367;esc;natus-vincere;train_se;15:15;;;;
10th of june 2013;8950368;cph-wolves;sprintfox;inferno_se;16:5;;;;
10th of june 2013;8950369;cph-wolves;esc;nuke_se;16:14;;;;
10th of june 2013;8950370;natus-vincere;sprintfox;mirage_ce;16:8;;;;
10th of june 2013;8950373;epsilon;ldlc;train_se;17:19;inferno_se;10:16;;
10th of june 2013;8950382;nip;nfaculty;mirage_ce;16:2;;;;
10th of june 2013;8950383;virtuspro;entity;dust2_se;1:0;;;;
10th of june 2013;8950384;3dmax;k1ck;dust2_se;16:4;;;;
10th of june 2013;8950385;fnatic;alternate-attax;mirage_ce;16:12;;;;
10th of june 2013;8950386;nfaculty;cplay;dust2_se;16:10;;;;
10th of june 2013;8950387;nip;3dmax;train_se;16:14;;;;
10th of june 2013;8950388;nfaculty;kerchnet;mirage_ce;16:6;;;;
11th of june 2013;8950389;virtuspro;raiders;mirage_ce;16:4;;;;
11th of june 2013;8950390;verygames;nfaculty;cache;16:13;;;;
11th of june 2013;8950391;verygames;virtuspro;nuke_se;15:15;;;;
11th of june 2013;8950392;nfaculty;raiders;mirage_ce;16:12;;;;
11th of june 2013;8950393;virtuspro;nfaculty;mirage_ce;16:9;;;;
11th of june 2013;8950394;verygames;raiders;inferno_se;16:2;;;;
12th of june 2013;8950395;nip;fnatic;cache;8:16;;;;
12th of june 2013;8950396;anexis;publiclirse;nuke_se;16:14;;;;
12th of june 2013;8950397;nip;anexis;nuke_se;16:1;;;;
12th of june 2013;8950398;fnatic;publiclirse;mirage_ce;16:8;;;;
12th of june 2013;8950399;nip;publiclirse;mirage_ce;13:16;;;;
12th of june 2013;8950400;fnatic;anexis;mirage_ce;16:11;;;;
13th of june 2013;8950401;western-wolves;ination;train_se;16:7;;;;
13th of june 2013;8950402;ldlc;alternate-attax;inferno_se;15:15;;;;
13th of june 2013;8950403;western-wolves;ldlc;nuke_se;16:14;;;;
13th of june 2013;8950404;alternate-attax;ination;mirage_ce;10:16;;;;
13th of june 2013;8950405;western-wolves;alternate-attax;dust2_se;16:11;;;;
13th of june 2013;8950406;ldlc;ination;nuke_se;16:6;;;;
11th of june 2013;8950511;nip;anexis;inferno_se;16:10;nuke_se;16:13;;
11th of june 2013;8950536;natus-vincere;eltz;train_se;16:11;;;;
11th of june 2013;8950538;nip;znation;mirage_ce;16:4;;;;
11th of june 2013;8950539;esc;3dmax;mirage_ce;6:16;;;;
11th of june 2013;8950540;k1ck;cplay;dust2_se;16:14;;;;
11th of june 2013;8950557;ldlc;natus-vincere;cache;16:10;;;;
11th of june 2013;8950651;alternate-attax;znation;dust2_se;16:10;;;;
12th of june 2013;8950685;natus-vincere;cplay;train_se;16:4;;;;
12th of june 2013;8950690;nip;ldlc;inferno_se;9:16;train_se;23:25;;
12th of june 2013;8950692;ldlc;nfaculty;train_se;16:9;;;;
13th of june 2013;8950706;anexis;epsilon;nuke_se;16:6;mirage_ce;7:16;inferno_se;13:16
13th of june 2013;8950826;nip;esc;dust2_se;16:13;;;;
13th of june 2013;8950827;virtuspro;nfaculty;mirage_ce;16:4;;;;
13th of june 2013;8950829;nip;k1ck;nuke_se;16:7;;;;
13th of june 2013;8950830;3dmax;kerchnet;mirage_ce;16:11;;;;
15th of june 2013;8950972;nip;refuse;nuke_se;16:5;;;;
15th of june 2013;8950973;western-wolves;publiclirse;dust2_se;16:13;;;;
15th of june 2013;8950975;cph-wolves;3dmax;dust2_se;16:7;;;;
15th of june 2013;8950976;curse;epsilon;inferno_se;16:10;;;;
16th of june 2013;8950983;esc;cursive;mirage_ce;16:3;;;;
16th of june 2013;8950984;ldlc;alternate-attax;inferno_se;16:1;;;;
15th of june 2013;8951160;nip;western-wolves;nuke_se;2:16;;;;
15th of june 2013;8951161;publiclirse;refuse;mirage_ce;16:8;;;;
15th of june 2013;8951165;cph-wolves;curse;inferno_se;16:3;;;;
15th of june 2013;8951166;epsilon;3dmax;inferno_se;16:5;;;;
15th of june 2013;8951179;nip;publiclirse;dust2_se;22:20;;;;
15th of june 2013;8951185;h2kmix;abitus;dust2_se;25:23;inferno_se;16:13;;
15th of june 2013;8951188;curse;epsilon;mirage_ce;10:16;;;;
15th of june 2013;8951192;lemondogs;team-prodopp;mirage_ce;16:5;dust2_se;16:3;;
16th of june 2013;8951207;virtuspro;h2kmix;inferno_se;16:4;;;;
16th of june 2013;8951208;fnatic;lemondogs;train_se;2:16;;;;
16th of june 2013;8951219;lemondogs;refuse;dust2_se;16:11;;;;
16th of june 2013;8951220;nip;refuse;mirage_ce;16:4;;;;
16th of june 2013;8951221;nip;lemondogs;mirage_ce;16:6;;;;
16th of june 2013;8951222;epsilon;infused;train_se;16:3;;;;
16th of june 2013;8951223;publiclirse;gosu;mirage_ce;16:4;;;;
16th of june 2013;8951224;epsilon;publiclirse;mirage_ce;16:14;;;;
16th of june 2013;8951225;infused;gosu;dust2_se;9:16;;;;
16th of june 2013;8951226;epsilon;gosu;inferno_se;16:6;;;;
16th of june 2013;8951227;publiclirse;infused;nuke_se;16:0;;;;
16th of june 2013;8951246;nip;publiclirse;inferno_se;16:7;nuke_se;16:9;;
16th of june 2013;8951247;epsilon;lemondogs;dust2_se;9:16;train_se;16:14;mirage_ce;16:13
16th of june 2013;8951271;nip;epsilon;inferno_se;11:16;train_se;16:10;dust2_se;16:6
16th of june 2013;8951312;ldlc;lemondogs;mirage_ce;16:7;;;;
16th of june 2013;8951313;fnatic;alternate-attax;mirage_ce;16:8;;;;
16th of june 2013;8951315;virtuspro;esc;mirage_ce;16:14;;;;
16th of june 2013;8951317;cursive;h2kmix;dust2_se;16:7;;;;
16th of june 2013;8951336;lemondogs;fnatic;dust2_se;19:16;;;;
16th of june 2013;8951338;esc;cursive;mirage_ce;16:9;;;;
17th of june 2013;8951347;western-wolves;epsilon;dust2_se;12:16;inferno_se;11:16;;
17th of june 2013;8951348;ldlc;esc;train_se;19:16;nuke_se;16:4;;
17th of june 2013;8951349;virtuspro;lemondogs;mirage_ce;16:14;dust2_se;16:3;;
17th of june 2013;8951350;cph-wolves;nip;inferno_se;16:14;mirage_ce;3:16;dust2_se;10:16
17th of june 2013;8951378;virtuspro;cph-wolves;nuke_se;13:10;;;;
17th of june 2013;8951386;western-wolves;ldlc;nuke_se;13:11;;;;
17th of june 2013;8951393;epsilon;ldlc;inferno_se;10:16;mirage_ce;19:15;train_se;16:9
17th of june 2013;8951411;nip;virtuspro;mirage_ce;16:6;dust2_se;16:9;;
17th of june 2013;8951423;nip;epsilon;mirage_ce;16:5;train_se;16:2;;
17th of june 2013;8951434;esc;lemondogs;nuke_se;6:13;;;;
17th of june 2013;8951435;nip;curse;nuke_se;13:10;;;;
17th of june 2013;8951465;k1ck;nfaculty;mirage_ce;0:16;;;;
17th of june 2013;8951467;virtuspro;lemondogs;dust_se;11:13;;;;
17th of june 2013;8951480;nip;western-wolves;dust_se;13:9;;;;
17th of june 2013;8951488;nip;lemondogs;aztec_se;13:16;;;;
18th of june 2013;8951507;nfaculty;znation;mirage_ce;16:5;;;;
18th of june 2013;8951508;entity;znation;mirage_ce;4:16;;;;
19th of june 2013;8951678;nip;kerchnet;mirage_ce;16:5;;;;
19th of june 2013;8951679;znation;kerchnet;mirage_ce;16:2;;;;
19th of june 2013;8951680;natus-vincere;kerchnet;inferno_se;16:13;;;;
